case,n,m,family,seed,configuration,macs,weight_density,kernel_words,kernel_sha256,input_words,cycles,cold,fetch,memory,wait,setup,scalar,retired,outputs
n1_m1_small_s1731_software,1,1,small,1731,software,1,1.0,86,5b167f0f9aa1545e7d7d2ba7ff293e2ddcc3297639ca19b61d9ab14afc840b5d,2,186,214,62,68,0,0,56,62,1
n1_m1_small_s1731_iterative_staged,1,1,small,1731,iterative_staged,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,32,60,6,6,13,3,4,6,1
n1_m1_small_s1731_iterative_fused,1,1,small,1731,iterative_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,30,58,6,6,11,3,4,6,1
n1_m1_small_s1731_parallel_fused,1,1,small,1731,parallel_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,22,50,6,6,3,3,4,6,1
n1_m1_full_s1729_software,1,1,full,1729,software,1,1.0,86,5b167f0f9aa1545e7d7d2ba7ff293e2ddcc3297639ca19b61d9ab14afc840b5d,2,234,262,78,92,0,0,64,78,1
n1_m1_full_s1729_iterative_staged,1,1,full,1729,iterative_staged,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,32,60,6,6,13,3,4,6,1
n1_m1_full_s1729_iterative_fused,1,1,full,1729,iterative_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,30,58,6,6,11,3,4,6,1
n1_m1_full_s1729_parallel_fused,1,1,full,1729,parallel_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,22,50,6,6,3,3,4,6,1
n1_m1_full_s1730_software,1,1,full,1730,software,1,1.0,86,5b167f0f9aa1545e7d7d2ba7ff293e2ddcc3297639ca19b61d9ab14afc840b5d,2,198,226,66,74,0,0,58,66,1
n1_m1_full_s1730_iterative_staged,1,1,full,1730,iterative_staged,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,32,60,6,6,13,3,4,6,1
n1_m1_full_s1730_iterative_fused,1,1,full,1730,iterative_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,30,58,6,6,11,3,4,6,1
n1_m1_full_s1730_parallel_fused,1,1,full,1730,parallel_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,22,50,6,6,3,3,4,6,1
n1_m1_full_s1731_software,1,1,full,1731,software,1,1.0,86,5b167f0f9aa1545e7d7d2ba7ff293e2ddcc3297639ca19b61d9ab14afc840b5d,2,246,274,82,98,0,0,66,82,1
n1_m1_full_s1731_iterative_staged,1,1,full,1731,iterative_staged,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,32,60,6,6,13,3,4,6,1
n1_m1_full_s1731_iterative_fused,1,1,full,1731,iterative_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,30,58,6,6,11,3,4,6,1
n1_m1_full_s1731_parallel_fused,1,1,full,1731,parallel_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,22,50,6,6,3,3,4,6,1
n1_m1_extrema_s1729_software,1,1,extrema,1729,software,1,1.0,86,5b167f0f9aa1545e7d7d2ba7ff293e2ddcc3297639ca19b61d9ab14afc840b5d,2,246,274,82,98,0,0,66,82,1
n1_m1_extrema_s1729_iterative_staged,1,1,extrema,1729,iterative_staged,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,32,60,6,6,13,3,4,6,1
n1_m1_extrema_s1729_iterative_fused,1,1,extrema,1729,iterative_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,30,58,6,6,11,3,4,6,1
n1_m1_extrema_s1729_parallel_fused,1,1,extrema,1729,parallel_fused,1,1.0,6,b3ecdf4f3aaffbfef705553d6be649db1f370151bfc27ad8bdc80b97c60ea51f,2,22,50,6,6,3,3,4,6,1
n4_m1_zero_s1729_software,4,1,zero,1729,software,4,0.0,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,48,148,16,14,0,0,18,16,1
n4_m1_zero_s1729_iterative_staged,4,1,zero,1729,iterative_staged,4,0.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_zero_s1729_iterative_fused,4,1,zero,1729,iterative_fused,4,0.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_zero_s1729_parallel_fused,4,1,zero,1729,parallel_fused,4,0.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_sparse_s1729_software,4,1,sparse,1729,software,4,0.25,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,249,349,83,92,0,0,74,83,1
n4_m1_sparse_s1729_iterative_staged,4,1,sparse,1729,iterative_staged,4,0.25,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_sparse_s1729_iterative_fused,4,1,sparse,1729,iterative_fused,4,0.25,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_sparse_s1729_parallel_fused,4,1,sparse,1729,parallel_fused,4,0.25,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_sparse_s1730_software,4,1,sparse,1730,software,4,0.25,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,249,349,83,92,0,0,74,83,1
n4_m1_sparse_s1730_iterative_staged,4,1,sparse,1730,iterative_staged,4,0.25,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_sparse_s1730_iterative_fused,4,1,sparse,1730,iterative_fused,4,0.25,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_sparse_s1730_parallel_fused,4,1,sparse,1730,parallel_fused,4,0.25,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_sparse_s1731_software,4,1,sparse,1731,software,4,0.25,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,225,325,75,80,0,0,70,75,1
n4_m1_sparse_s1731_iterative_staged,4,1,sparse,1731,iterative_staged,4,0.25,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_sparse_s1731_iterative_fused,4,1,sparse,1731,iterative_fused,4,0.25,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_sparse_s1731_parallel_fused,4,1,sparse,1731,parallel_fused,4,0.25,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_small_s1729_software,4,1,small,1729,software,4,1.0,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,888,988,296,344,0,0,248,296,1
n4_m1_small_s1729_iterative_staged,4,1,small,1729,iterative_staged,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_small_s1729_iterative_fused,4,1,small,1729,iterative_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_small_s1729_parallel_fused,4,1,small,1729,parallel_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_small_s1730_software,4,1,small,1730,software,4,0.75,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,687,787,229,266,0,0,192,229,1
n4_m1_small_s1730_iterative_staged,4,1,small,1730,iterative_staged,4,0.75,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_small_s1730_iterative_fused,4,1,small,1730,iterative_fused,4,0.75,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
n4_m1_small_s1730_parallel_fused,4,1,small,1730,parallel_fused,4,0.75,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,58,158,15,18,12,3,10,15,1
n4_m1_small_s1731_software,4,1,small,1731,software,4,1.0,332,c1a216a61004d7966e4809f185a9b3a43a2a90015387e2c3a2aed82b21b065b4,8,828,928,276,314,0,0,238,276,1
n4_m1_small_s1731_iterative_staged,4,1,small,1731,iterative_staged,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,98,198,15,18,52,3,10,15,1
n4_m1_small_s1731_iterative_fused,4,1,small,1731,iterative_fused,4,1.0,15,48ebab22fbdef3c787ccab7c841634f4099d44497f5740cd628d88f339d47943,8,90,190,15,18,44,3,10,15,1
