case,n,m,family,seed,configuration,macs,weight_density,kernel_words,kernel_sha256,input_words,cycles,cold,fetch,memory,wait,setup,scalar,retired,outputs
n8_m1_extrema_s1729_iterative_fused,8,1,extrema,1729,iterative_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_extrema_s1729_parallel_fused,8,1,extrema,1729,parallel_fused,8,1.0,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n16_m1_zero_s1729_software,16,1,zero,1729,software,16,0.0,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,156,544,52,38,0,0,66,52,1
n16_m1_zero_s1729_iterative_staged,16,1,zero,1729,iterative_staged,16,0.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_zero_s1729_iterative_fused,16,1,zero,1729,iterative_fused,16,0.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_zero_s1729_parallel_fused,16,1,zero,1729,parallel_fused,16,0.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_sparse_s1729_software,16,1,sparse,1729,software,16,0.125,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,546,934,182,188,0,0,176,182,1
n16_m1_sparse_s1729_iterative_staged,16,1,sparse,1729,iterative_staged,16,0.125,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_sparse_s1729_iterative_fused,16,1,sparse,1729,iterative_fused,16,0.125,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_sparse_s1729_parallel_fused,16,1,sparse,1729,parallel_fused,16,0.125,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_sparse_s1730_software,16,1,sparse,1730,software,16,0.25,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,924,1312,308,332,0,0,284,308,1
n16_m1_sparse_s1730_iterative_staged,16,1,sparse,1730,iterative_staged,16,0.25,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_sparse_s1730_iterative_fused,16,1,sparse,1730,iterative_fused,16,0.25,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_sparse_s1730_parallel_fused,16,1,sparse,1730,parallel_fused,16,0.25,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_sparse_s1731_software,16,1,sparse,1731,software,16,0.25,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,888,1276,296,314,0,0,278,296,1
n16_m1_sparse_s1731_iterative_staged,16,1,sparse,1731,iterative_staged,16,0.25,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_sparse_s1731_iterative_fused,16,1,sparse,1731,iterative_fused,16,0.25,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_sparse_s1731_parallel_fused,16,1,sparse,1731,parallel_fused,16,0.25,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_small_s1729_software,16,1,small,1729,software,16,1.0,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,2988,3376,996,1094,0,0,898,996,1
n16_m1_small_s1729_iterative_staged,16,1,small,1729,iterative_staged,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_small_s1729_iterative_fused,16,1,small,1729,iterative_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_small_s1729_parallel_fused,16,1,small,1729,parallel_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_small_s1730_software,16,1,small,1730,software,16,0.875,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,2754,3142,918,1022,0,0,814,918,1
n16_m1_small_s1730_iterative_staged,16,1,small,1730,iterative_staged,16,0.875,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_small_s1730_iterative_fused,16,1,small,1730,iterative_fused,16,0.875,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_small_s1730_parallel_fused,16,1,small,1730,parallel_fused,16,0.875,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_small_s1731_software,16,1,small,1731,software,16,0.9375,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,3003,3391,1001,1124,0,0,878,1001,1
n16_m1_small_s1731_iterative_staged,16,1,small,1731,iterative_staged,16,0.9375,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_small_s1731_iterative_fused,16,1,small,1731,iterative_fused,16,0.9375,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_small_s1731_parallel_fused,16,1,small,1731,parallel_fused,16,0.9375,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_full_s1729_software,16,1,full,1729,software,16,1.0,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,3096,3484,1032,1148,0,0,916,1032,1
n16_m1_full_s1729_iterative_staged,16,1,full,1729,iterative_staged,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_full_s1729_iterative_fused,16,1,full,1729,iterative_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_full_s1729_parallel_fused,16,1,full,1729,parallel_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_full_s1730_software,16,1,full,1730,software,16,1.0,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,3180,3568,1060,1190,0,0,930,1060,1
n16_m1_full_s1730_iterative_staged,16,1,full,1730,iterative_staged,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_full_s1730_iterative_fused,16,1,full,1730,iterative_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_full_s1730_parallel_fused,16,1,full,1730,parallel_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_full_s1731_software,16,1,full,1731,software,16,1.0,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,3312,3700,1104,1256,0,0,952,1104,1
n16_m1_full_s1731_iterative_staged,16,1,full,1731,iterative_staged,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_full_s1731_iterative_fused,16,1,full,1731,iterative_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_full_s1731_parallel_fused,16,1,full,1731,parallel_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n16_m1_extrema_s1729_software,16,1,extrema,1729,software,16,1.0,1316,a2a4bf478acd4979fcc1b5500048b58173302e28fcf0198665372bb8e8a6aea8,32,3180,3568,1060,1190,0,0,930,1060,1
n16_m1_extrema_s1729_iterative_staged,16,1,extrema,1729,iterative_staged,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,362,750,51,66,208,3,34,51,1
n16_m1_extrema_s1729_iterative_fused,16,1,extrema,1729,iterative_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,330,718,51,66,176,3,34,51,1
n16_m1_extrema_s1729_parallel_fused,16,1,extrema,1729,parallel_fused,16,1.0,51,5f4592c3e22d748848a17e5cb06dd38297c52c7a914972ebeed317ab6c778476,32,202,590,51,66,48,3,34,51,1
n32_m1_zero_s1729_software,32,1,zero,1729,software,32,0.0,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,300,1072,100,70,0,0,130,100,1
n32_m1_zero_s1729_iterative_staged,32,1,zero,1729,iterative_staged,32,0.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_zero_s1729_iterative_fused,32,1,zero,1729,iterative_fused,32,0.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_zero_s1729_parallel_fused,32,1,zero,1729,parallel_fused,32,0.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_sparse_s1729_software,32,1,sparse,1729,software,32,0.21875,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,1719,2491,573,622,0,0,524,573,1
n32_m1_sparse_s1729_iterative_staged,32,1,sparse,1729,iterative_staged,32,0.21875,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_sparse_s1729_iterative_fused,32,1,sparse,1729,iterative_fused,32,0.21875,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_sparse_s1729_parallel_fused,32,1,sparse,1729,parallel_fused,32,0.21875,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_sparse_s1730_software,32,1,sparse,1730,software,32,0.21875,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,1563,2335,521,544,0,0,498,521,1
n32_m1_sparse_s1730_iterative_staged,32,1,sparse,1730,iterative_staged,32,0.21875,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_sparse_s1730_iterative_fused,32,1,sparse,1730,iterative_fused,32,0.21875,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_sparse_s1730_parallel_fused,32,1,sparse,1730,parallel_fused,32,0.21875,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_sparse_s1731_software,32,1,sparse,1731,software,32,0.1875,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,1482,2254,494,526,0,0,462,494,1
n32_m1_sparse_s1731_iterative_staged,32,1,sparse,1731,iterative_staged,32,0.1875,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_sparse_s1731_iterative_fused,32,1,sparse,1731,iterative_fused,32,0.1875,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_sparse_s1731_parallel_fused,32,1,sparse,1731,parallel_fused,32,0.1875,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_small_s1729_software,32,1,small,1729,software,32,0.90625,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,5721,6493,1907,2128,0,0,1686,1907,1
n32_m1_small_s1729_iterative_staged,32,1,small,1729,iterative_staged,32,0.90625,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_small_s1729_iterative_fused,32,1,small,1729,iterative_fused,32,0.90625,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_small_s1729_parallel_fused,32,1,small,1729,parallel_fused,32,0.90625,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_small_s1730_software,32,1,small,1730,software,32,0.9375,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,6162,6934,2054,2326,0,0,1782,2054,1
n32_m1_small_s1730_iterative_staged,32,1,small,1730,iterative_staged,32,0.9375,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_small_s1730_iterative_fused,32,1,small,1730,iterative_fused,32,0.9375,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_small_s1730_parallel_fused,32,1,small,1730,parallel_fused,32,0.9375,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_small_s1731_software,32,1,small,1731,software,32,0.9375,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,6042,6814,2014,2266,0,0,1762,2014,1
n32_m1_small_s1731_iterative_staged,32,1,small,1731,iterative_staged,32,0.9375,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_small_s1731_iterative_fused,32,1,small,1731,iterative_fused,32,0.9375,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_small_s1731_parallel_fused,32,1,small,1731,parallel_fused,32,0.9375,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_full_s1729_software,32,1,full,1729,software,32,1.0,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,6432,7204,2144,2416,0,0,1872,2144,1
n32_m1_full_s1729_iterative_staged,32,1,full,1729,iterative_staged,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_full_s1729_iterative_fused,32,1,full,1729,iterative_fused,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_full_s1729_parallel_fused,32,1,full,1729,parallel_fused,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_full_s1730_software,32,1,full,1730,software,32,1.0,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,6420,7192,2140,2410,0,0,1870,2140,1
n32_m1_full_s1730_iterative_staged,32,1,full,1730,iterative_staged,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_full_s1730_iterative_fused,32,1,full,1730,iterative_fused,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_full_s1730_parallel_fused,32,1,full,1730,parallel_fused,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_full_s1731_software,32,1,full,1731,software,32,1.0,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,6480,7252,2160,2440,0,0,1880,2160,1
n32_m1_full_s1731_iterative_staged,32,1,full,1731,iterative_staged,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_full_s1731_iterative_fused,32,1,full,1731,iterative_fused,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_full_s1731_parallel_fused,32,1,full,1731,parallel_fused,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n32_m1_extrema_s1729_software,32,1,extrema,1729,software,32,1.0,2628,488b0302c57ba108aed385e0144fcb055bafbf57359c4a2e2f74d3f5ef2e5c57,64,6348,7120,2116,2374,0,0,1858,2116,1
n32_m1_extrema_s1729_iterative_staged,32,1,extrema,1729,iterative_staged,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,714,1486,99,130,416,3,66,99,1
n32_m1_extrema_s1729_iterative_fused,32,1,extrema,1729,iterative_fused,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,650,1422,99,130,352,3,66,99,1
n32_m1_extrema_s1729_parallel_fused,32,1,extrema,1729,parallel_fused,32,1.0,99,55f112ed62f1c3cc4ecd5884826f1ffd2510486e1312051323761d1b773516de,64,394,1166,99,130,96,3,66,99,1
n64_m1_zero_s1729_software,64,1,zero,1729,software,64,0.0,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,588,2128,196,134,0,0,258,196,1
n64_m1_zero_s1729_iterative_staged,64,1,zero,1729,iterative_staged,64,0.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_zero_s1729_iterative_fused,64,1,zero,1729,iterative_fused,64,0.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_zero_s1729_parallel_fused,64,1,zero,1729,parallel_fused,64,0.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_sparse_s1729_software,64,1,sparse,1729,software,64,0.203125,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,2937,4477,979,1016,0,0,942,979,1
n64_m1_sparse_s1729_iterative_staged,64,1,sparse,1729,iterative_staged,64,0.203125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_sparse_s1729_iterative_fused,64,1,sparse,1729,iterative_fused,64,0.203125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_sparse_s1729_parallel_fused,64,1,sparse,1729,parallel_fused,64,0.203125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_sparse_s1730_software,64,1,sparse,1730,software,64,0.125,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,2052,3592,684,686,0,0,682,684,1
n64_m1_sparse_s1730_iterative_staged,64,1,sparse,1730,iterative_staged,64,0.125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_sparse_s1730_iterative_fused,64,1,sparse,1730,iterative_fused,64,0.125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_sparse_s1730_parallel_fused,64,1,sparse,1730,parallel_fused,64,0.125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_sparse_s1731_software,64,1,sparse,1731,software,64,0.15625,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,2526,4066,842,878,0,0,806,842,1
n64_m1_sparse_s1731_iterative_staged,64,1,sparse,1731,iterative_staged,64,0.15625,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_sparse_s1731_iterative_fused,64,1,sparse,1731,iterative_fused,64,0.15625,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_sparse_s1731_parallel_fused,64,1,sparse,1731,parallel_fused,64,0.15625,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_small_s1729_software,64,1,small,1729,software,64,0.90625,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,11598,13138,3866,4334,0,0,3398,3866,1
n64_m1_small_s1729_iterative_staged,64,1,small,1729,iterative_staged,64,0.90625,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_small_s1729_iterative_fused,64,1,small,1729,iterative_fused,64,0.90625,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_small_s1729_parallel_fused,64,1,small,1729,parallel_fused,64,0.90625,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_small_s1730_software,64,1,small,1730,software,64,0.953125,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,12417,13957,4139,4676,0,0,3602,4139,1
n64_m1_small_s1730_iterative_staged,64,1,small,1730,iterative_staged,64,0.953125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_small_s1730_iterative_fused,64,1,small,1730,iterative_fused,64,0.953125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_small_s1730_parallel_fused,64,1,small,1730,parallel_fused,64,0.953125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_small_s1731_software,64,1,small,1731,software,64,0.953125,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,12309,13849,4103,4622,0,0,3584,4103,1
n64_m1_small_s1731_iterative_staged,64,1,small,1731,iterative_staged,64,0.953125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_small_s1731_iterative_fused,64,1,small,1731,iterative_fused,64,0.953125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_small_s1731_parallel_fused,64,1,small,1731,parallel_fused,64,0.953125,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_full_s1729_software,64,1,full,1729,software,64,1.0,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,12528,14068,4176,4664,0,0,3688,4176,1
n64_m1_full_s1729_iterative_staged,64,1,full,1729,iterative_staged,64,1.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_full_s1729_iterative_fused,64,1,full,1729,iterative_fused,64,1.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_full_s1729_parallel_fused,64,1,full,1729,parallel_fused,64,1.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_full_s1730_software,64,1,full,1730,software,64,1.0,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,12648,14188,4216,4724,0,0,3708,4216,1
n64_m1_full_s1730_iterative_staged,64,1,full,1730,iterative_staged,64,1.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_full_s1730_iterative_fused,64,1,full,1730,iterative_fused,64,1.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_full_s1730_parallel_fused,64,1,full,1730,parallel_fused,64,1.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_full_s1731_software,64,1,full,1731,software,64,1.0,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,12900,14440,4300,4850,0,0,3750,4300,1
n64_m1_full_s1731_iterative_staged,64,1,full,1731,iterative_staged,64,1.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1418,2958,195,258,832,3,130,195,1
n64_m1_full_s1731_iterative_fused,64,1,full,1731,iterative_fused,64,1.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,1290,2830,195,258,704,3,130,195,1
n64_m1_full_s1731_parallel_fused,64,1,full,1731,parallel_fused,64,1.0,195,30986fdf265f73afc774fc0eb606de4b949e170ff3852f6d9a485a6dfe120680,128,778,2318,195,258,192,3,130,195,1
n64_m1_extrema_s1729_software,64,1,extrema,1729,software,64,1.0,5252,6f573cce9b1f21d77cbd804364747b3a47228efc8f6e5775787b80da464d6ff3,128,12684,14224,4228,4742,0,0,3714,4228,1
